approved_id,status,category,target_item,priority,source,score,title,url,thing_id,license,creator,like_count,make_count,snippet,why_matched,folder_slug,file_formats,source_file_count,printable_file_count,has_step,has_parametric_source,file_notes
8ed11259a4e3,approved,Buckets / Food Storage,5 gallon bucket handle,high,thingiverse,20,5 Gallon Bucket handle,https://www.thingiverse.com/thing:2760410,2760410,,CdoubleU,38,,https://cdn.thingiverse.com/renders/27/3e/e3/c0/1f/ea312f3caeca734a5366142a469097ec.png,target-overlap:4x4; good:bucket; concise-title,5_gallon_bucket_handle,,,,unknown,unknown,not checked
43cba5fc3676,approved,Buckets / Food Storage,5 gallon bucket handle,high,thingiverse,16,one10rc 5 Gallon Bucket 1:10 v2,https://www.thingiverse.com/thing:3808050,3808050,,one10rc,209,2,https://cdn.thingiverse.com/renders/a9/91/b2/c5/2d/6ad4f661da8d30da2b7b44fe2a800c8e.png,target-overlap:3x4; good:bucket; concise-title,one10rc_5_gallon_bucket_1_10_v2,,,,unknown,unknown,not checked
121a5f583846,approved,Buckets / Food Storage,5 gallon bucket handle,high,thingiverse,16,Lowes and Home Depot 5 Gallon Bucket Can Coozies,https://www.thingiverse.com/thing:5744124,5744124,,jcoulter24valve,198,2,https://cdn.thingiverse.com/assets/b2/47/79/a9/ed/12eb5c6f-6721-4be5-94e0-f12a0b983426.png,target-overlap:3x4; good:bucket; concise-title,lowes_and_home_depot_5_gallon_bucket_can_coozies,,,,unknown,unknown,not checked
5e84b0c15f2b,approved,Buckets / Food Storage,5 gallon bucket handle,high,thingiverse,16,5 & 6 Gallon Bucket Spacer,https://www.thingiverse.com/thing:3985841,3985841,,ductape,89,,https://cdn.thingiverse.com/assets/df/b0/88/6b/01/20191118_181335.jpg,target-overlap:3x4; good:bucket; concise-title,5_6_gallon_bucket_spacer,,,,unknown,unknown,not checked
2d75ede0774f,approved,Buckets / Food Storage,5 gallon bucket handle,high,thingiverse,14,5 Gallon Pail Handle,https://www.thingiverse.com/thing:6584949,6584949,,CobraDesign47,256,,https://cdn.thingiverse.com/assets/f6/d1/3a/20/b9/eb99390c-ce41-492f-af33-faf86eb3804c.JPG,target-overlap:3x4; concise-title,5_gallon_pail_handle,,,,unknown,unknown,not checked
8afcffc991c2,approved,Buckets / Food Storage,bag clip heavy duty,high,thingiverse,16,Crinkle - Reusable Chip Clip and Clothespin – Heavy Duty,https://www.thingiverse.com/thing:3768443,3768443,,nickleyw,261,3,https://cdn.thingiverse.com/assets/9e/d3/b3/02/15/Thumb_4-3.png,target-overlap:3x4; good:clip; concise-title,crinkle_reusable_chip_clip_and_clothespin_heavy_duty,,,,unknown,unknown,not checked
9d69a0eaa729,approved,Buckets / Food Storage,bag clip heavy duty,high,thingiverse,16,Pegboard Heavy-Duty Hanging Bin Clip,https://www.thingiverse.com/thing:1540038,1540038,,stoof,234,1,https://cdn.thingiverse.com/assets/fd/37/b0/eb/69/IMG_20160504_125248.jpg,target-overlap:3x4; good:clip; concise-title,pegboard_heavy_duty_hanging_bin_clip,,,,unknown,unknown,not checked
57bd4c6b8935,approved,Buckets / Food Storage,bag clip heavy duty,high,thingiverse,16,Heavy duty bags Holder,https://www.thingiverse.com/thing:407592,407592,,3D_LabteK,900,9,https://cdn.thingiverse.com/renders/ab/30/24/b2/45/bag.jpg,target-overlap:3x4; good:holder; concise-title,heavy_duty_bags_holder,,,,unknown,unknown,not checked
ab949b40cc91,approved,Buckets / Food Storage,bag clip heavy duty,high,thingiverse,10,Heavy Duty Carabiner,https://www.thingiverse.com/thing:4550466,4550466,,FiveNights,140,1,https://cdn.thingiverse.com/assets/94/99/85/45/49/IMG_20200723_211103.jpg,target-overlap:2x4; concise-title,heavy_duty_carabiner,,,,unknown,unknown,not checked
e908a72d2c1d,approved,Buckets / Food Storage,bag clip heavy duty,high,thingiverse,8,Clip rotary unlocking,https://www.thingiverse.com/thing:2893392,2893392,,davedix,527,4,https://cdn.thingiverse.com/assets/e7/0f/90/b1/46/20180504_161224.jpg,target-overlap:1x4; good:clip; concise-title,clip_rotary_unlocking,,,,unknown,unknown,not checked
